,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,time,icao24,lat,lon,group_concat(cast(serials.item as string), ','),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1532649599,34234d,,,-1408237486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1532649599,ac4d05,,,-1408237065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1532649599,aa567c,42.45726013183594,-84.28929415616125,-966138651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1532649599,a32396,32.58311462402344,-97.27261962890623,-1408236845,-800660494,-1408236898,-1139756041.0,-1408237160.0,-784897364.0,-800943122.0,-800688953.0,-793485296.0,-404444431.0,-800695656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1532649599,406caa,50.23851013183594,9.756365324321544,-1056662699,-1134664894,-1412084811,-1358562604.0,-1046536370.0,-1408237364.0,-93495554.0,-1315728419.0,-782749492.0,-1408236956.0,-1470086488.0,-1495700487.0,80592813.0,970509750.0,90157.0,-1853699152.0,-1408236728.0,1805974151.0,-1408236829.0,-1408237316.0,333333900.0,-1440125486.0,-1186977528.0,90486.0,-782748182.0,-1529360725.0,-1923986821.0,699700118.0,1917193709.0,1408237402.0,80695182.0,-1408237320.0,1801244942.0,333333990.0,-1408236963.0,-1574577850.0,-1508585609.0,333333991.0,-1408237479.0,-1530705577.0,-1518264207.0,1434682727.0,-1294966167.0,-708877941.0,970520480.0,-773272901.0
6,1532649599,a0ebab,41.24984482587394,-89.3665383078835,-800946956,-1135597539,-1408237177,-800946957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1532649599,8962e2,22.69398317498676,48.0712890625,-1408237045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1532649599,288489,29.78910827636719,-98.66879389836237,-1408237508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1532649599,7c801c,-30.11251831054688,152.566546271829,-1408237308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1532649599,4bcde5,42.60134939420021,22.66920222792515,-630188532,-1839216550,-1476312172,-715403194.0,-1317207789.0,-1314083900.0,-1836685701.0,-734899048.0,-1500147109.0,-1841792479.0,1408237242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1532649599,06a2c4,26.78131620762712,55.22911658653847,1435125865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1532649599,aaa593,41.96580505371094,-87.73600491610443,-801391400,-1135597539,-1408236854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1532649599,abca00,27.81053963354078,-83.22761535644531,-1408237228,-744683524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1532649599,2ac471,,,-1408237104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1532649599,aaf82c,41.68659792108051,-73.84128304414969,-789924956,-1153949414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1532649599,424590,51.55577087402344,23.42849319045608,-531872158,-522801458,-1497944849,-1440125486.0,-1844511327.0,-1541325586.0,-727668246.0,-1473090246.0,-1359984825.0,-1498312348.0,-712560139.0,-1408237415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1532649599,aca79d,40.75951010493909,-73.68711298162287,-789924956,-1153949414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1532649599,c1e16d,,,-1203676439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1532649599,a87898,28.44602423199152,-87.15534883386948,-1093694330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
